name,item_class,guide_item_type,drop_pool,is_breach_unique,base_item,tier,tier_raw,required_level,required_strength,required_dexterity,required_intelligence,attribute_requirements,has_foulborn_variant,wiki_page
Shackles of the Wretched,Gloves,Gloves,core,no,Chain Gloves,4,4 d,7,8,,8,"Str 8, Int 8",yes,https://www.poewiki.net/wiki/Shackles_of_the_Wretched
Shadows and Dust,Gloves,Gloves,core,no,Clasped Mitts,4,4 d,31,,25,25,"Dex 25, Int 25",yes,https://www.poewiki.net/wiki/Shadows_and_Dust
Slitherpinch,Gloves,Gloves,core,no,Bronzescale Gauntlets,5,5 d,27,22,22,,"Str 22, Dex 22",no,https://www.poewiki.net/wiki/Slitherpinch
Snakebite,Gloves,Gloves,core,no,Assassin's Mitts,4,4 d,58,,45,45,"Dex 45, Int 45",yes,https://www.poewiki.net/wiki/Snakebite
Southbound,Gloves,Gloves,core,no,Soldier Gloves,5,5 d,51,40,,40,"Str 40, Int 40",no,https://www.poewiki.net/wiki/Southbound
Stormseeker,Gloves,Gloves,core,no,Ambush Mitts,4,4 d,45,,35,35,"Dex 35, Int 35",no,https://www.poewiki.net/wiki/Stormseeker
Storm's Gift,Gloves,Gloves,core,no,Assassin's Mitts,3,3 d,58,,45,45,"Dex 45, Int 45",no,https://www.poewiki.net/wiki/Storm's_Gift
Surgebinders,Gloves,Gloves,core,no,Dragonscale Gauntlets,5,5 d,67,51,51,,"Str 51, Dex 51",no,https://www.poewiki.net/wiki/Surgebinders
Tanu Ahi,Gloves,Gloves,core,no,Wyrmscale Gauntlets,4,4 d,49,38,38,,"Str 38, Dex 38",no,https://www.poewiki.net/wiki/Tanu_Ahi
The Embalmer,Gloves,Gloves,core,no,Carnal Mitts,5,5 d,50,,39,39,"Dex 39, Int 39",yes,https://www.poewiki.net/wiki/The_Embalmer
The Hand of Phrecia,Gloves,Gloves,core,no,Mesh Gloves,3,3 d,32,26,,26,"Str 26, Int 26",no,https://www.poewiki.net/wiki/The_Hand_of_Phrecia
Thunderfist,Gloves,Gloves,core,no,Murder Mitts,2,2 d,67,,51,51,"Dex 51, Int 51",yes,https://www.poewiki.net/wiki/Thunderfist
Triad Grip,Gloves,Gloves,core,no,Mesh Gloves,5,5 d,32,26,,26,"Str 26, Int 26",no,https://www.poewiki.net/wiki/Triad_Grip
Vaal Caress,Gloves,Gloves,core,no,Bronzescale Gauntlets,3,3 d,27,22,22,,"Str 22, Dex 22",yes,https://www.poewiki.net/wiki/Vaal_Caress
Veruso's Battering Rams,Gloves,Gloves,core,no,Titan Gauntlets,5,5 d,69,98,,,Str 98,yes,https://www.poewiki.net/wiki/Veruso's_Battering_Rams
Vixen's Entrapment,Gloves,Gloves,core,no,Embroidered Gloves,3,3 d,36,,,54,Int 54,no,https://www.poewiki.net/wiki/Vixen's_Entrapment
Voidbringer,Gloves,Gloves,core,no,Conjurer Gloves,4,4 d,55,,,79,Int 79,yes,https://www.poewiki.net/wiki/Voidbringer
Volkuur's Guidance,Gloves,Gloves,core,no,Zealot Gloves,3,3 d,43,34,,34,"Str 34, Int 34",no,https://www.poewiki.net/wiki/Volkuur's_Guidance
Wyrmsign,Gloves,Gloves,core,no,Wyrmscale Gauntlets,4,4 d,49,38,38,,"Str 38, Dex 38",yes,https://www.poewiki.net/wiki/Wyrmsign
Abberath's Hooves,Boots,Boots,core,no,Goathide Boots,1,1 d,12,,26,,Dex 26,no,https://www.poewiki.net/wiki/Abberath's_Hooves
Alberon's Warpath,Boots,Boots,core,no,Soldier Boots,4,4 d,49,47,,47,"Str 47, Int 47",yes,https://www.poewiki.net/wiki/Alberon's_Warpath
Beacon of Madness,Boots,Boots,core,no,Two-Toned Boots,3,2 r -3 d,70,62,,62,"Str 62, Int 62",no,https://www.poewiki.net/wiki/Beacon_of_Madness
Bones of Ullr,Boots,Boots,core,no,Silk Slippers,5,5 d,22,,,42,Int 42,no,https://www.poewiki.net/wiki/Bones_of_Ullr
Corpsewalker,Boots,Boots,core,no,Carnal Boots,2,2 d,55,,52,52,"Dex 52, Int 52",no,https://www.poewiki.net/wiki/Corpsewalker
Darkray Vectors,Boots,Boots,core,no,Dragonscale Boots,4,4 d,65,62,62,,"Str 62, Dex 62",yes,https://www.poewiki.net/wiki/Darkray_Vectors
Deerstalker,Boots,Boots,core,no,Deerskin Boots,5,5 d,22,,42,,Dex 42,no,https://www.poewiki.net/wiki/Deerstalker
Dusktoe,Boots,Boots,core,no,Ironscale Boots,5,5 d,18,19,19,,"Str 19, Dex 19",no,https://www.poewiki.net/wiki/Dusktoe
Gang's Momentum,Boots,Boots,core,no,Legion Boots,5,5 d,58,54,,54,"Str 54, Int 54",yes,https://www.poewiki.net/wiki/Gang's_Momentum
Garukhan's Flight,Boots,Boots,core,no,Stealth Boots,1,1 d,62,,117,,Dex 117,no,https://www.poewiki.net/wiki/Garukhan's_Flight
Goldwyrm,Boots,Boots,core,no,Nubuck Boots,4,4 d,34,,62,,Dex 62,yes,https://www.poewiki.net/wiki/Goldwyrm
Inya's Epiphany,Boots,Boots,core,no,Arcanist Slippers,3,3 d,61,,,119,Int 119,no,https://www.poewiki.net/wiki/Inya's_Epiphany
Kahuturoa's Certainty,Boots,Boots,core,no,Ancient Greaves,4,4 d,46,82,,,Str 82,no,https://www.poewiki.net/wiki/Kahuturoa's_Certainty
Kaom's Roots,Boots,Boots,core,no,Titan Greaves,3,3 d,68,120,,,Str 120,yes,https://www.poewiki.net/wiki/Kaom's_Roots
Lioneye's Paws,Boots,Boots,core,no,Bronzescale Boots,4,4 d,30,30,30,,"Str 30, Dex 30",yes,https://www.poewiki.net/wiki/Lioneye's_Paws
March of the Legion,Boots,Boots,core,no,Legion Boots,3,3 u,58,54,,54,"Str 54, Int 54",no,https://www.poewiki.net/wiki/March_of_the_Legion
Nomic's Storm,Boots,Boots,core,no,Strapped Boots,5,5 d,16,,18,18,"Dex 18, Int 18",no,https://www.poewiki.net/wiki/Nomic's_Storm
Orbala's Stand,Boots,Boots,core,no,Eelskin Boots,5,5 d,39,,70,,Dex 70,no,https://www.poewiki.net/wiki/Orbala's_Stand
Rainbowstride,Boots,Boots,core,no,Conjurer Boots,3,3 d,53,,,94,Int 94,no,https://www.poewiki.net/wiki/Rainbowstride
Ralakesh's Impatience,Boots,Boots,core,no,Riveted Boots,1,1 d,36,35,,35,"Str 35, Int 35",no,https://www.poewiki.net/wiki/Ralakesh's_Impatience
Scornflux,Boots,Boots,core,no,Satin Slippers,4,4,54,,,69,Int 69,no,https://www.poewiki.net/wiki/Scornflux
Seven-League Step,Boots,Boots,core,no,Rawhide Boots,2,2 d,1,,11,,Dex 11,yes,https://www.poewiki.net/wiki/Seven-League_Step
Shavronne's Pace,Boots,Boots,core,no,Scholar Boots,5,5 d,32,,,59,Int 59,no,https://www.poewiki.net/wiki/Shavronne's_Pace
Sin Trek,Boots,Boots,core,no,Stealth Boots,5,5 d,62,,117,,Dex 117,no,https://www.poewiki.net/wiki/Sin_Trek
Skyforth,Boots,Boots,core,no,Sorcerer Boots,2,2 d,67,,,123,Int 123,yes,https://www.poewiki.net/wiki/Skyforth
Stormcharger,Boots,Boots,core,no,Plated Greaves,5,5 d,23,44,,,Str 44,no,https://www.poewiki.net/wiki/Stormcharger
Sundance,Boots,Boots,core,no,Clasped Boots,5,5 d,27,,27,27,"Dex 27, Int 27",no,https://www.poewiki.net/wiki/Sundance
The Blood Dance,Boots,Boots,core,no,Sharkskin Boots,3,3 d,44,,79,,Dex 79,no,https://www.poewiki.net/wiki/The_Blood_Dance
Three-step Assault,Boots,Boots,core,no,Shagreen Boots,5,5 d,55,,97,,Dex 97,no,https://www.poewiki.net/wiki/Three-step_Assault
Torchoak Step,Boots,Boots,core,no,Antique Greaves,5,5 d,37,67,,,Str 67,no,https://www.poewiki.net/wiki/Torchoak_Step
Veruso's Ambition,Boots,Boots,core,no,Shackled Boots,4,4 d,34,,34,34,"Dex 34, Int 34",no,https://www.poewiki.net/wiki/Veruso's_Ambition
Victario's Flight,Boots,Boots,core,no,Goathide Boots,4,4 d,12,,26,,Dex 26,yes,https://www.poewiki.net/wiki/Victario's_Flight
Wake of Destruction,Boots,Boots,core,no,Mesh Boots,5,5 d,28,28,,28,"Str 28, Int 28",no,https://www.poewiki.net/wiki/Wake_of_Destruction
Wanderlust,Boots,Boots,core,no,Wool Shoes,5,5 d,1,,,11,Int 11,no,https://www.poewiki.net/wiki/Wanderlust
Windscream,Boots,Boots,core,no,Reinforced Greaves,3,3 d,33,61,,,Str 61,yes,https://www.poewiki.net/wiki/Windscream
Wondertrap,Boots,Boots,core,no,Velvet Slippers,5,5 d,9,,,21,Int 21,no,https://www.poewiki.net/wiki/Wondertrap
Ambu's Charge,Body Armour,Body Armours,core,no,Crusader Chainmail,4,4 d,43,64,,64,"Str 64, Int 64",yes,https://www.poewiki.net/wiki/Ambu's_Charge
Ashrend,Body Armour,Body Armours,core,no,Buckskin Tunic,4,4 d,17,,53,,Dex 53,yes,https://www.poewiki.net/wiki/Ashrend
Belly of the Beast,Body Armour,Body Armours,core,no,Full Wyrmscale,3,3 d,46,68,68,,"Str 68, Dex 68",yes,https://www.poewiki.net/wiki/Belly_of_the_Beast
Bloodbond,Body Armour,Body Armours,core,no,Bone Armour,4,4 d,35,,53,53,"Dex 53, Int 53",no,https://www.poewiki.net/wiki/Bloodbond
Blunderbore,Body Armour,Body Armours,core,no,Astral Plate,3,3 d,62,180,,,Str 180,no,https://www.poewiki.net/wiki/Blunderbore
Bramblejack,Body Armour,Body Armours,core,no,Plate Vest,4,4 d,1,12,,,Str 12,yes,https://www.poewiki.net/wiki/Bramblejack
Briskwrap,Body Armour,Body Armours,core,no,Sun Leather,5,5 d,32,,91,,Dex 91,no,https://www.poewiki.net/wiki/Briskwrap
Bronn's Lithe,Body Armour,Body Armours,core,no,Cutthroat's Garb,4,4 d,53,,145,,Dex 145,yes,https://www.poewiki.net/wiki/Bronn's_Lithe
Carcass Jack,Body Armour,Body Armours,core,no,Varnished Coat,3,3 d,62,,96,96,"Dex 96, Int 96",yes,https://www.poewiki.net/wiki/Carcass_Jack
Chains of Command,Body Armour,Body Armours,core,no,Saintly Chainmail,3,3 d,70,99,,115,"Str 99, Int 115",no,https://www.poewiki.net/wiki/Chains_of_Command
Cherrubim's Maleficence,Body Armour,Body Armours,core,no,Triumphant Lamellar,4,4 d,69,95,116,,"Str 95, Dex 116",yes,https://www.poewiki.net/wiki/Cherrubim's_Maleficence
Cloak of Defiance,Body Armour,Body Armours,core,no,Lacquered Garb,2,2 d,52,,76,76,"Dex 76, Int 76",yes,https://www.poewiki.net/wiki/Cloak_of_Defiance
Cloak of Flame,Body Armour,Body Armours,core,no,Scholar's Robe,3,3 d,18,,,55,Int 55,yes,https://www.poewiki.net/wiki/Cloak_of_Flame
Cospri's Will,Body Armour,Body Armours,core,no,Assassin's Garb,3,3 d,68,,183,,Dex 183,yes,https://www.poewiki.net/wiki/Cospri's_Will
Daresso's Defiance,Body Armour,Body Armours,core,no,Full Dragonscale,3,3 d,63,115,94,,"Str 115, Dex 94",no,https://www.poewiki.net/wiki/Daresso's_Defiance
Death's Oath,Body Armour,Body Armours,core,no,Astral Plate,3,3 d,62,180,,,Str 180,yes,https://www.poewiki.net/wiki/Death's_Oath
Dendrobate,Body Armour,Body Armours,core,no,Sentinel Jacket,4,4 d,59,,86,86,"Dex 86, Int 86",no,https://www.poewiki.net/wiki/Dendrobate
Dialla's Malefaction,Body Armour,Body Armours,core,no,Sage's Robe,1,1 d,37,,,104,Int 104,yes,https://www.poewiki.net/wiki/Dialla's_Malefaction
Doedre's Skin,Body Armour,Body Armours,core,no,Widowsilk Robe,2,2 d,65,,,187,Int 187,no,https://www.poewiki.net/wiki/Doedre's_Skin
Doryani's Prototype,Body Armour,Body Armours,core,no,Saint's Hauberk,2,2 d,67,109,,94,"Str 109, Int 94",no,https://www.poewiki.net/wiki/Doryani's_Prototype
Fleshcrafter,Body Armour,Body Armours,core,no,Necromancer Silks,2,2 d,59,,,160,Int 160,yes,https://www.poewiki.net/wiki/Fleshcrafter
Foxshade,Body Armour,Body Armours,core,no,Wild Leather,5,5 d,25,,73,,Dex 73,no,https://www.poewiki.net/wiki/Foxshade
Geofri's Sanctuary,Body Armour,Body Armours,core,no,Elegant Ringmail,4,4 d,64,90,,105,"Str 90, Int 105",no,https://www.poewiki.net/wiki/Geofri's_Sanctuary
Ghostwrithe,Body Armour,Body Armours,core,no,Silken Vest,4,4 d,11,,,37,Int 37,yes,https://www.poewiki.net/wiki/Ghostwrithe
Greed's Embrace,Body Armour,Body Armours,core,no,Golden Plate,4,4 d,56,152,,,Str 152,yes,https://www.poewiki.net/wiki/Greed's_Embrace
Gruthkul's Pelt,Body Armour,Body Armours,core,no,Wyrmscale Doublet,1,1 d,38,57,57,,"Str 57, Dex 57",yes,https://www.poewiki.net/wiki/Gruthkul's_Pelt
Hyrri's Ire,Body Armour,Body Armours,core,no,Zodiac Leather,2,2 d,65,,197,,Dex 197,yes,https://www.poewiki.net/wiki/Hyrri's_Ire
Icetomb,Body Armour,Body Armours,core,no,Latticed Ringmail,5,5 d,39,59,,59,"Str 59, Int 59",no,https://www.poewiki.net/wiki/Icetomb
Incandescent Heart,Body Armour,Body Armours,core,no,Saintly Chainmail,3,3 d,70,99,,115,"Str 99, Int 115",yes,https://www.poewiki.net/wiki/Incandescent_Heart
Infernal Mantle,Body Armour,Body Armours,core,no,Widowsilk Robe,3,3 d,65,,,187,Int 187,yes,https://www.poewiki.net/wiki/Infernal_Mantle
Inpulsa's Broken Heart,Body Armour,Body Armours,core,no,Sadist Garb,2,2 d,68,,103,109,"Dex 103, Int 109",yes,https://www.poewiki.net/wiki/Inpulsa's_Broken_Heart
Kaom's Heart,Body Armour,Body Armours,core,no,Glorious Plate,2,2 d,68,191,,,Str 191,no,https://www.poewiki.net/wiki/Kaom's_Heart
Kingsguard,Body Armour,Body Armours,core,no,Conquest Chainmail,5,5 d,61,96,,96,"Str 96, Int 96",no,https://www.poewiki.net/wiki/Kingsguard
Kintsugi,Body Armour,Body Armours,core,no,Exquisite Leather,2,2 d,62,,170,,Dex 170,yes,https://www.poewiki.net/wiki/Kintsugi
Lightbane Raiment,Body Armour,Body Armours,core,no,Ornate Ringmail,5,5 d,47,69,,69,"Str 69, Int 69",no,https://www.poewiki.net/wiki/Lightbane_Raiment
Lightning Coil,Body Armour,Body Armours,core,no,Desert Brigandine,3,3 d,60,96,96,,"Str 96, Dex 96",yes,https://www.poewiki.net/wiki/Lightning_Coil
Lioneye's Vision,Body Armour,Body Armours,core,no,Crusader Plate,4,4 d,59,160,,,Str 160,yes,https://www.poewiki.net/wiki/Lioneye's_Vision
Perfidy,Body Armour,Body Armours,core,no,Glorious Plate,3,3 d,68,191,,,Str 191,no,https://www.poewiki.net/wiki/Perfidy
Pragmatism,Body Armour,Body Armours,core,no,Colosseum Plate,,,49,134,,,Str 134,no,https://www.poewiki.net/wiki/Pragmatism
Queen of the Forest,Body Armour,Body Armours,core,no,Destiny Leather,3,3 d,59,,160,,Dex 160,yes,https://www.poewiki.net/wiki/Queen_of_the_Forest
Rigwald's Hunt,Body Armour,Body Armours,core,no,General's Brigandine,2,2 u,66,103,103,,"Str 103, Dex 103",no,https://www.poewiki.net/wiki/Rigwald's_Hunt
Shavronne's Wrappings,Body Armour,Body Armours,core,no,Occultist's Vestment,2,2 d,62,,,180,Int 180,yes,https://www.poewiki.net/wiki/Shavronne's_Wrappings
Solaris Lorica,Body Armour,Body Armours,core,no,Copper Plate,4,4 d,17,53,,,Str 53,yes,https://www.poewiki.net/wiki/Solaris_Lorica
Soul Mantle,Body Armour,Body Armours,core,no,Spidersilk Robe,4,4 d,49,,,134,Int 134,yes,https://www.poewiki.net/wiki/Soul_Mantle
Tabula Rasa,Body Armour,Body Armours,core,no,Simple Robe,3,3 d,1,,,17,Int 17,no,https://www.poewiki.net/wiki/Tabula_Rasa
The Beast Fur Shawl,Body Armour,Body Armours,core,no,Vaal Regalia,4,4 d,68,,,194,Int 194,no,https://www.poewiki.net/wiki/The_Beast_Fur_Shawl
The Brass Dome,Body Armour,Body Armours,core,no,Gladiator Plate,2,2 d,65,177,,,Str 177,yes,https://www.poewiki.net/wiki/The_Brass_Dome
The Coming Calamity,Body Armour,Body Armours,core,no,Destroyer Regalia,4,4 d,53,,,145,Int 145,yes,https://www.poewiki.net/wiki/The_Coming_Calamity
The Covenant,Body Armour,Body Armours,core,no,Spidersilk Robe,2,2 d,49,,,134,Int 134,yes,https://www.poewiki.net/wiki/The_Covenant
The Fourth Vow,Body Armour,Body Armours,core,no,Devout Chainmail,2,2 d,55,80,,80,"Str 80, Int 80",yes,https://www.poewiki.net/wiki/The_Fourth_Vow
The Iron Fortress,Body Armour,Body Armours,core,no,Crusader Plate,2,2 d,59,160,,,Str 160,yes,https://www.poewiki.net/wiki/The_Iron_Fortress
The Ivory Tower,Body Armour,Body Armours,core,no,Saint's Hauberk,3,3 d,67,109,,94,"Str 109, Int 94",no,https://www.poewiki.net/wiki/The_Ivory_Tower
The Rat Cage,Body Armour,Body Armours,core,no,Sharkskin Tunic,3,3 d,56,,152,,Dex 152,no,https://www.poewiki.net/wiki/The_Rat_Cage
The Restless Ward,Body Armour,Body Armours,core,no,Carnal Armour,5,5 d,71,,88,122,"Dex 88, Int 122",no,https://www.poewiki.net/wiki/The_Restless_Ward
Thousand Ribbons,Body Armour,Body Armours,core,no,Simple Robe,3,3 d,1,,,17,Int 17,no,https://www.poewiki.net/wiki/Thousand_Ribbons
Tinkerskin,Body Armour,Body Armours,core,no,Sadist Garb,3,3 d,68,,103,109,"Dex 103, Int 109",yes,https://www.poewiki.net/wiki/Tinkerskin
Victario's Influence,Body Armour,Body Armours,core,no,Lacquered Garb,4,4 d,52,,76,76,"Dex 76, Int 76",yes,https://www.poewiki.net/wiki/Victario's_Influence
Utula's Hunger,Body Armour,Body Armours,core,no,Majestic Plate,2,2 d,53,145,,,Str 145,yes,https://www.poewiki.net/wiki/Utula's_Hunger
Vis Mortis,Body Armour,Body Armours,core,no,Necromancer Silks,4,4 d,59,,,160,Int 160,yes,https://www.poewiki.net/wiki/Vis_Mortis
Voll's Protector,Body Armour,Body Armours,core,no,Holy Chainmail,3,3 d,35,53,,53,"Str 53, Int 53",yes,https://www.poewiki.net/wiki/Voll's_Protector
Yriel's Fostering,Body Armour,Body Armours,core,no,Exquisite Leather,3,3 d,62,,170,,Dex 170,no,https://www.poewiki.net/wiki/Yriel's_Fostering
Zahndethus' Cassock,Body Armour,Body Armours,core,no,Sage's Robe,5,5 d,37,,,104,Int 104,yes,https://www.poewiki.net/wiki/Zahndethus'_Cassock
Ascent From Flesh,Belt,Belts,core,no,Chain Belt,4,4 d,44,,,,None,no,https://www.poewiki.net/wiki/Ascent_From_Flesh
Auxium,Belt,Belts,core,no,Crystal Belt,3,3 d,79,,,,None,yes,https://www.poewiki.net/wiki/Auxium
Bated Breath,Belt,Belts,core,no,Chain Belt,5,5 d,22,,,,None,no,https://www.poewiki.net/wiki/Bated_Breath
Belt of the Deceiver,Belt,Belts,core,no,Heavy Belt,4,4 d,20,,,,None,yes,https://www.poewiki.net/wiki/Belt_of_the_Deceiver
Binds of Bloody Vengeance,Belt,Belts,core,no,Vanguard Belt,2,2 u,78,,,,None,no,https://www.poewiki.net/wiki/Binds_of_Bloody_Vengeance
Bisco's Leash,Belt,Belts,core,no,Heavy Belt,3,3 d,30,,,,None,no,https://www.poewiki.net/wiki/Bisco's_Leash
Bound Fate,Belt,Belts,core,no,Cloth Belt,3,3 d,49,,,,None,no,https://www.poewiki.net/wiki/Bound_Fate
Ceinture of Benevolence,Belt,Belts,core,no,Cloth Belt,4,4 d,40,,,,None,no,https://www.poewiki.net/wiki/Ceinture_of_Benevolence
Chain of Endurance,Belt,Belts,core,no,Chain Belt,5,5 d,14,,,,None,no,https://www.poewiki.net/wiki/Chain_of_Endurance
Dyadian Dawn,Belt,Belts,core,no,Heavy Belt,3,3 d,52,,,,None,yes,https://www.poewiki.net/wiki/Dyadian_Dawn
Faminebind,Belt,Belts,core,no,Rustic Sash,5,5 d,18,,,,None,no,https://www.poewiki.net/wiki/Faminebind
Feastbind,Belt,Belts,core,no,Rustic Sash,5,5 d,11,,,,None,no,https://www.poewiki.net/wiki/Feastbind
Gluttony,Belt,Belts,core,no,Leather Belt,4,4 d,48,,,,None,no,https://www.poewiki.net/wiki/Gluttony
Headhunter,Belt,Belts,core,no,Leather Belt,0,0 d,40,,,,None,yes,https://www.poewiki.net/wiki/Headhunter
Immortal Flesh,Belt,Belts,core,no,Leather Belt,5,5 d,50,,,,None,no,https://www.poewiki.net/wiki/Immortal_Flesh
Kaom's Binding,Belt,Belts,core,no,Heavy Belt,3,3 d,56,,,,None,no,https://www.poewiki.net/wiki/Kaom's_Binding
Leash of Oblation,Belt,Belts,core,no,Leather Belt,3,3 d,49,,,,None,no,https://www.poewiki.net/wiki/Leash_of_Oblation
Mageblood,Belt,Belts,core,no,Heavy Belt,0,0 d,44,,,,None,yes,https://www.poewiki.net/wiki/Mageblood
Maligaro's Restraint,Belt,Belts,core,no,Chain Belt,4,4 d,44,,,,None,yes,https://www.poewiki.net/wiki/Maligaro's_Restraint
Meginord's Girdle,Belt,Belts,core,no,Heavy Belt,4,4 d,8,,,,None,yes,https://www.poewiki.net/wiki/Meginord's_Girdle
Mother's Embrace,Belt,Belts,core,no,Heavy Belt,3,3 d,40,,,,None,no,https://www.poewiki.net/wiki/Mother's_Embrace
Nevalius Inheritance,Belt,Belts,core,no,Cloth Belt,3,3 d,16,,,,None,no,https://www.poewiki.net/wiki/Nevalius_Inheritance
Perandus Blazon,Belt,Belts,core,no,Cloth Belt,5,5 d,16,,,,None,no,https://www.poewiki.net/wiki/Perandus_Blazon
Perseverance,Belt,Belts,core,no,Vanguard Belt,4,4 d,78,,,,None,no,https://www.poewiki.net/wiki/Perseverance
Prismweave,Belt,Belts,core,no,Rustic Sash,5,5 d,25,,,,None,no,https://www.poewiki.net/wiki/Prismweave
Pyroshock Clasp,Belt,Belts,core,no,Leather Belt,4,4 d,43,,,,None,no,https://www.poewiki.net/wiki/Pyroshock_Clasp
Ryslatha's Coil,Belt,Belts,core,no,Studded Belt,1,1 d,32,,,,None,no,https://www.poewiki.net/wiki/Ryslatha's_Coil
Siegebreaker,Belt,Belts,core,no,Heavy Belt,5,5 d,44,,,,None,no,https://www.poewiki.net/wiki/Siegebreaker
Soul Tether,Belt,Belts,core,no,Cloth Belt,3,3 d,48,,,,None,yes,https://www.poewiki.net/wiki/Soul_Tether
Soulthirst,Belt,Belts,core,no,Cloth Belt,3,3 d,45,,,,None,yes,https://www.poewiki.net/wiki/Soulthirst
Sunblast,Belt,Belts,core,no,Cloth Belt,2,2 d,37,,,,None,yes,https://www.poewiki.net/wiki/Sunblast
The Druggery,Belt,Belts,core,no,Cloth Belt,5,5 d,48,,,,None,no,https://www.poewiki.net/wiki/The_Druggery
The Magnate,Belt,Belts,core,no,Studded Belt,2,2 d,16,,,,None,yes,https://www.poewiki.net/wiki/The_Magnate
Umbilicus Immortalis,Belt,Belts,core,no,Leather Belt,3,3 d,30,,,,None,yes,https://www.poewiki.net/wiki/Umbilicus_Immortalis
Wurm's Molt,Belt,Belts,core,no,Leather Belt,5,5 d,41,,,,None,no,https://www.poewiki.net/wiki/Wurm's_Molt
Araku Tiki,Amulet,Amulets,core,no,Coral Amulet,5,5 d,1,,,,None,no,https://www.poewiki.net/wiki/Araku_Tiki
Astramentis,Amulet,Amulets,core,no,Onyx Amulet,2,2 d,20,,,,None,yes,https://www.poewiki.net/wiki/Astramentis
Atziri's Foible,Amulet,Amulets,core,no,Paua Amulet,2,2 d,16,,,,None,no,https://www.poewiki.net/wiki/Atziri's_Foible
Badge of the Brotherhood,Amulet,Amulets,core,no,Turquoise Amulet,2,2 d,60,,,,None,yes,https://www.poewiki.net/wiki/Badge_of_the_Brotherhood
Bisco's Collar,Amulet,Amulets,core,no,Gold Amulet,3,3,30,,,,None,no,https://www.poewiki.net/wiki/Bisco's_Collar
Blightwell,Amulet,Amulets,core,no,Clutching Talisman,4,4 d,28,,,,None,no,https://www.poewiki.net/wiki/Blightwell
Bloodgrip,Amulet,Amulets,core,no,Marble Amulet,5,5 d,74,,,,None,no,https://www.poewiki.net/wiki/Bloodgrip
Bloodsoaked Medallion,Amulet,Amulets,core,no,Amber Amulet,4,4 d,49,,,,None,no,https://www.poewiki.net/wiki/Bloodsoaked_Medallion
Carnage Heart,Amulet,Amulets,core,no,Onyx Amulet,5,5 d,20,,,,None,no,https://www.poewiki.net/wiki/Carnage_Heart
Daresso's Salute,Amulet,Amulets,core,no,Citrine Amulet,5,5 d,16,,,,None,no,https://www.poewiki.net/wiki/Daresso's_Salute
Defiance of Destiny,Amulet,Amulets,core,no,Paua Amulet,0,0 d,49,,,,None,yes,https://www.poewiki.net/wiki/Defiance_of_Destiny
Doedre's Tongue,Amulet,Amulets,core,no,Lapis Amulet,3,3 d,24,,,,None,no,https://www.poewiki.net/wiki/Doedre's_Tongue
Extractor Mentis,Amulet,Amulets,core,no,Agate Amulet,5,5 d,16,,,,None,no,https://www.poewiki.net/wiki/Extractor_Mentis
Eye of Chayula,Amulet,Amulets,breach-only,yes,Onyx Amulet,3,3 d,20,,,,None,yes,https://www.poewiki.net/wiki/Eye_of_Chayula
Eye of Innocence,Amulet,Amulets,core,no,Citrine Amulet,5,5 d,68,,,,None,no,https://www.poewiki.net/wiki/Eye_of_Innocence
Eyes of the Greatwolf,Amulet,Amulets,core,no,Greatwolf Talisman,2,2 d,52,,,,None,no,https://www.poewiki.net/wiki/Eyes_of_the_Greatwolf
Fury Valve,Amulet,Amulets,core,no,Turquoise Amulet,3,3 d,40,,,,None,no,https://www.poewiki.net/wiki/Fury_Valve
Gloomfang,Amulet,Amulets,core,no,Blue Pearl Amulet,3,3 d,77,,,,None,no,https://www.poewiki.net/wiki/Gloomfang
Hinekora's Sight,Amulet,Amulets,core,no,Onyx Amulet,3,3 d,44,,,,None,yes,https://www.poewiki.net/wiki/Hinekora's_Sight
Hyrri's Truth,Amulet,Amulets,core,no,Jade Amulet,4,4 d,64,,,,None,no,https://www.poewiki.net/wiki/Hyrri's_Truth
Ikiaho's Promise,Amulet,Amulets,core,no,Coral Amulet,5,5 d,30,,,,None,no,https://www.poewiki.net/wiki/Ikiaho's_Promise
Karui Ward,Amulet,Amulets,core,no,Jade Amulet,5,5 d,5,,,,None,no,https://www.poewiki.net/wiki/Karui_Ward
Maligaro's Cruelty,Amulet,Amulets,core,no,Turquoise Amulet,4,4 d,20,,,,None,no,https://www.poewiki.net/wiki/Maligaro's_Cruelty
Marylene's Fallacy,Amulet,Amulets,core,no,Lapis Amulet,3,3 d,40,,,,None,no,https://www.poewiki.net/wiki/Marylene's_Fallacy
Natural Hierarchy,Amulet,Amulets,core,no,Rotfeather Talisman,4,4 d,44,,,,None,no,https://www.poewiki.net/wiki/Natural_Hierarchy
Night's Hold,Amulet,Amulets,core,no,Black Maw Talisman,4,4 d,12,,,,None,no,https://www.poewiki.net/wiki/Night's_Hold
Perquil's Toe,Amulet,Amulets,core,no,Gold Amulet,4,4 d,29,,,,None,no,https://www.poewiki.net/wiki/Perquil's_Toe
Rashkaldor's Patience,Amulet,Amulets,core,no,Jade Amulet,3,3 d,48,,,,None,no,https://www.poewiki.net/wiki/Rashkaldor's_Patience
Replica Dragonfang's Flight,Amulet,Amulets,core,no,Onyx Amulet,3,3 d,56,,,,None,no,https://www.poewiki.net/wiki/Replica_Dragonfang's_Flight
Retaliation Charm,Amulet,Amulets,core,no,Citrine Amulet,5,5 d,16,,,,None,no,https://www.poewiki.net/wiki/Retaliation_Charm
